provider,code,game name
nt,RedRidingHood,Fairytale Legends: Red Riding Hood
nt,FruitShop,Fruit Shop
nt,FinnandtheSwirlySpin,Finn and the Swirly Spin
nt,GonzosQuest,Gonzos Quest
nt,Elements:TheAwakening,Elements: The Awakening
nt,DivineFortuneMegaways,Divine Fortune Megaways
nt,DeadorAlive2,Dead or Alive 2
nt,DazzleMe,Dazzle Me
nt,DKForbiddenRiches,Dark King: Forbidden Riches
nt,ButterflyStaxx,Butterfly Staxx
nt,TwinSpinMegaways,Twin Spin Megaways
nt,RMLandandExpand,Riches of Midgard: Land and Expand
nt,SecretoftheStones,Secret of the Stones
nt,SecretsofChristmas,Secrets of Christmas
nt,SpaceWars,Space Wars
nt,SerengetiKings,Serengeti Kings
nt,Victorious,Victorious
nt,WildWater,Wild Water
nt,WildWorlds,Wild Worlds
nt,WillysHotChillies,Willy's Hot Chillies
nt,DruidsDream,Druids' Dream
nt,FLHanselandGretel,Fairytale Legends: Hansel and Gretel
nt,FChampionsCup,Football: Champions Cup
nt,GonzosTreasureHunt,Gonzos Treasure Hunt
nt,GGInfiniReels,Gods Of Gold: InfiniReels
bgaming,bgaming_WildCashX9990,Wild Cash x9990
bgaming,bgaming_Maneki88Gold,Maneki 88 Gold
bgaming,bgaming_HalloweenBonanza,Halloween Bonanza
bgaming,bgaming_FortyFruityMillion,Forty Fruity Million
bgaming,bgaming_ElvisFrogTrueways,Elvis Frog Trueways
bgaming,bgaming_BookOfCatsMegaways,Book of Cats Megaways
bgaming,bgaming_BeerBonanza,Beer Bonanza
nt,ScruffyDuck,Scruffy Duck
em,GemBrillante,Gem Brillante
rb,rp_1,Madame Luck
rb,rp_52,Vegas No Limit Wins
rb,rp_55,Grand Express - Diamond Class
rb,rp_53,Alice and the Mad Respin Party
rb,rp_57,Clovers of Luck
rb,rp_58,Volcano Rising
rb,rp_59,Ancient Pharoah
rb,rp_61,Shake shake Christmas
rb,rp_62,New Year Rising
rb,rp_60,Mucho Loco Habanero
rb,rp_63,Book of Riches Deluxe Chapter 2
rb,rp_67,Roman Legend
rb,rp_65,Mayan Blaze
rb,rp_66,More Dragon Ladies
rb,rp_68,Zeus Rush Fever Deluxe
rb,rp_69,Viking Crusade
rb,rp_70,Golden Forge
rb,rp_72,Diamond Explosion 7s
rb,rp_71,Arabian Secret
rb,rp_73,Rush Fever 7s Deluxe
evo,evo-RNGDC-1000121,RNG Dream Catcher
evo,evo-studio-1000000,Football studio
evo,evo-RNGBaccarat-1000002,RNG Baccarat
